{i}, {x_center}, {y_center}, {width}, {height}, {confidence_i_found_a_thing}, {confidence_its_a_face},
0, 5.224158, 11.44309, 20.54424, 26.96485, 34.12264, 42.55753,
1, 51.7409, 58.72317, 65.57627, 74.77963, 82.10973, 89.69324,
2, 99.47435, 106.4377, 113.7156, 121.7181, 131.2387, 138.3711,
3, 146.3993, 153.0897, 162.7861, 170.7373, 177.8459, 186.8576,
4, 194.8319, 201.562, 210.5849, 218.8656, 226.7684, 236.9263,
5, 243.166, 251.1348, 261.2218, 268.2194, 275.9319, 282.2687,
6, 298.0347, 302.1916, 312.1181, 315.0549, 318.7515, 331.4904,
7, 346.4641, 350.14, 350.9991, 362.1716, 372.906, 381.6804,
8, 388.0516, 395.5453, 403.9673, 410.7491, 418.6352, 427.225,
9, 437.6552, 446.189, 451.3719, 460.22, 470.4679, 474.5562,
10, 481.5003, 492.698, 502.7304, 509.1526, 514.9869, 526.3243,
11, 531.2693, 539.5715, 547.2407, 561.805, 565.9537, 572.2361,
12, 575.7747, 585.6849, 595.6595, 607.7315, 613.9063, 618.8728,
13, 627.9994, 636.3419, 4.827019, 10.30424, 19.87551, 27.87529,
14, 35.26346, 43.231, 52.07099, 59.53447, 67.34929, 75.17088,
15, 83.27618, 91.36609, 99.27662, 107.214, 115.2255, 123.3052,
16, 131.5728, 138.7195, 147.462, 154.8946, 161.7554, 171.8857,
17, 178.4928, 186.9058, 195.1536, 202.1688, 210.3103, 219.1442,
18, 227.3398, 235.827, 243.1615, 253.0523, 262.0384, 267.727,
19, 274.9974, 282.6654, 296.7599, 302.6771, 308.1368, 314.6889,
20, 321.9698, 332.9559, 345.8229, 349.4861, 351.9627, 359.5239,
21, 371.6294, 379.9637, 385.7654, 394.3415, 402.7922, 409.8229,
22, 419.8371, 427.5272, 437.8842, 446.1839, 450.3014, 456.2537,
23, 466.9157, 474.855, 482.9285, 491.7157, 501.5066, 508.455,
24, 513.9178, 526.8627, 531.432, 539.5555, 546.3051, 560.4445,
25, 565.0092, 570.6929, 578.058, 585.2277, 593.9478, 602.2797,
26, 612.5551, 620.0584, 628.8326, 636.9788, 3.716738, 13.03087,
27, 20.16193, 28.42752, 34.50274, 42.98245, 52.46415, 59.47629,
28, 66.25191, 75.17827, 83.82934, 89.78907, 100.6575, 108.0794,
29, 114.1218, 122.1815, 131.4741, 138.3582, 146.661, 155.1471,
30, 161.9838, 171.4261, 177.88, 187.4458, 195.3372, 202.2751,
31, 209.2846, 219.2583, 227.3945, 232.3832, 240.4278, 256.5102,
32, 262.1422, 266.8267, 273.2699, 280.9287, 291.4983, 303.9206,
33, 309.3513, 312.5464, 322.2191, 334.4439, 345.6776, 348.8294,
34, 351.4424, 360.4498, 370.8677, 378.0719, 385.9429, 394.5212,
35, 404.5316, 410.1142, 418.8359, 427.4531, 438.2925, 445.5857,
36, 450.598, 457.2836, 466.2438, 478.8009, 486.5579, 490.2036,
37, 499.9552, 510.5863, 513.774, 524.2477, 530.2853, 540.7438,
38, 546.1744, 555.7573, 563.5299, 572.9894, 580.1835, 585.8318,
39, 594.0116, 602.5913, 611.7551, 621.9412, 628.7477, 637.2023,
40, 4.217416, 14.36967, 19.36337, 29.45135, 34.12883, 43.38057,
41, 51.26531, 60.45832, 66.19022, 74.94878, 83.44239, 91.23514,
42, 99.76231, 106.0907, 115.0573, 123.6606, 131.419, 138.0476,
43, 146.952, 155.1418, 163.0866, 170.9779, 178.2098, 187.9378,
44, 194.8676, 201.8914, 210.1731, 219.3529, 227.2351, 231.7489,
45, 240.1852, 255.7428, 260.6818, 267.0831, 273.5037, 280.7614,
46, 288.7946, 302.4681, 309.2886, 315.5618, 325.2465, 332.6846,
47, 342.9737, 349.4642, 352.9758, 358.1654, 370.8028, 378.3452,
48, 386.9727, 396.5839, 405.388, 409.379, 418.6, 426.0941,
49, 436.305, 443.0035, 450.0376, 458.5532, 465.9849, 476.6003,
50, 487.6626, 495.6435, 498.784, 507.9102, 515.3738, 522.1519,
51, 530.836, 541.6434, 547.2156, 555.88, 563.8779, 572.0508,
52, 579.5281, 586.124, 593.9135, 602.4377, 610.7474, 621.9999,
53, 628.1116, 637.7906, 3.937183, 12.35972, 20.44793, 28.47946,
54, 35.85567, 44.01634, 52.10274, 60.46556, 67.0524, 75.13065,
55, 83.67128, 91.6048, 99.97374, 107.2308, 115.0499, 123.0936,
56, 130.8733, 138.9845, 148.5495, 153.5109, 162.8118, 171.6633,
57, 178.3577, 187.3915, 195.0964, 201.4332, 210.2227, 218.0008,
58, 226.2532, 232.2815, 242.4419, 256.1248, 260.7739, 266.5621,
59, 273.196, 281.5703, 287.4471, 300.4928, 313.1063, 317.047,
60, 329.6039, 331.7297, 335.7568, 349.7215, 353.1286, 359.8083,
61, 370.3785, 378.4364, 386.2432, 397.0787, 405.3991, 410.243,
62, 422.7679, 427.504, 434.9618, 442.5105, 450.4172, 459.1412,
63, 466.278, 474.8649, 486.6208, 497.8642, 499.2891, 506.1353,
64, 515.8452, 521.5876, 531.9519, 541.9785, 547.0878, 555.2429,
65, 561.7236, 569.8704, 578.3148, 586.77, 594.6604, 603.0086,
