{rectangle.Left}, {rectangle.Top}, {rectangle.Right}, {rectangle.Top},
63, 70, 215, 70,
15, 28, 126, 28,
131, -22, 172, -22,
-31, -20, 43, -20,
44, 47, 161, 47,
3, 12, 74, 12,
-31, 18, 52, 18,
34, 51, 118, 51,
-11, -14, 28, -14,
22, -5, 36, -5,
116, 111, 127, 111,
-6, 13, 33, 13,
10, 14, 61, 14,
36, 34, 106, 34,
-1, -4, 72, -4,
26, 24, 78, 24,
10, 96, 159, 96,
16, 9, 43, 9,
37, -2, 56, -2,
133, 136, 138, 136,
138, 147, 142, 147,
-10, 0, 14, 0,
21, 23, 50, 23,
137, 143, 149, 143,
14, -23, 47, -23,
-5, -6, 11, -6,
12, 5, 30, 5,
-4, -8, 22, -8,
-6, 8, 18, 8,
17, 18, 42, 18,
7, 9, 15, 9,
27, 25, 59, 25,
8, 15, 37, 15,
3, 8, 21, 8,
11, 14, 16, 14,
13, 31, 44, 31,
-6, 0, 17, 0,
18, 20, 39, 20,
14, -1, 31, -1,
10, -5, 32, -5,
3, 5, 14, 5,
19, 9, 27, 9,
76, 138, 224, 138,
11, 7, 25, 7,
9, 8, 19, 8,
5, 4, 17, 4,
1, 63, 27, 63,
1, -1, 5, -1,
6, 12, 26, 12,
2, 0, 14, 0,
12, 13, 30, 13,
14, 3, 38, 3,
7, 0, 16, 0,
7, 2, 13, 2,
8, 6, 16, 6,
6, -1, 10, -1,
1, 4, 11, 4,
6, 7, 15, 7,
2, 2, 11, 2,
4, 4, 12, 4,
0, 5, 11, 5,
6, 6, 12, 6,
0, 36, 15, 36,
0, 0, 5, 0,
4, 2, 9, 2,
1, 4, 9, 4,
4, 4, 9, 4,
0, 9, 43, 9,
7, 9, 19, 9,
13, 9, 17, 9,
1, 1, 3, 1,
0, 0, 1, 0,
0, 0, 0, 0,
0, 0, 0, 0,
